LOC_MSCONS,LOC_PLZ,LOC_EEGKEY,DATE_PERIOD_START,YEAR_PS,MONTH_PS,DAY_PS,HOUR_PS,MINUTE_PS,UTC_PS,DATE_PERIOD_END,YEAR_PE,MONTH_PE,DAY_PE,HOUR_PE,MINUTE_PE,UTC_PE,VALUE
"US0001062600000001000000022345671","26000","00001000000022345671","201512010700+01","2015","12","01","07","00","+01","201512010715+01","2015","12","01","07","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010715+01","2015","12","01","07","15","+01","201512010715+01","2015","12","01","07","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010715+01","2015","12","01","07","15","+01","201512010730+01","2015","12","01","07","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010715+01","2015","12","01","07","15","+01","201512010730+01","2015","12","01","07","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010730+01","2015","12","01","07","30","+01","201512010730+01","2015","12","01","07","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010730+01","2015","12","01","07","30","+01","201512010745+01","2015","12","01","07","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010730+01","2015","12","01","07","30","+01","201512010745+01","2015","12","01","07","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010745+01","2015","12","01","07","45","+01","201512010745+01","2015","12","01","07","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010745+01","2015","12","01","07","45","+01","201512010800+01","2015","12","01","08","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010745+01","2015","12","01","07","45","+01","201512010800+01","2015","12","01","08","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010800+01","2015","12","01","08","00","+01","201512010800+01","2015","12","01","08","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010800+01","2015","12","01","08","00","+01","201512010815+01","2015","12","01","08","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010800+01","2015","12","01","08","00","+01","201512010815+01","2015","12","01","08","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010815+01","2015","12","01","08","15","+01","201512010815+01","2015","12","01","08","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010815+01","2015","12","01","08","15","+01","201512010830+01","2015","12","01","08","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010815+01","2015","12","01","08","15","+01","201512010830+01","2015","12","01","08","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010830+01","2015","12","01","08","30","+01","201512010830+01","2015","12","01","08","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010830+01","2015","12","01","08","30","+01","201512010845+01","2015","12","01","08","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010830+01","2015","12","01","08","30","+01","201512010845+01","2015","12","01","08","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010845+01","2015","12","01","08","45","+01","201512010845+01","2015","12","01","08","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010845+01","2015","12","01","08","45","+01","201512010900+01","2015","12","01","09","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010845+01","2015","12","01","08","45","+01","201512010900+01","2015","12","01","09","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010900+01","2015","12","01","09","00","+01","201512010900+01","2015","12","01","09","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010900+01","2015","12","01","09","00","+01","201512010915+01","2015","12","01","09","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010900+01","2015","12","01","09","00","+01","201512010915+01","2015","12","01","09","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010915+01","2015","12","01","09","15","+01","201512010915+01","2015","12","01","09","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010915+01","2015","12","01","09","15","+01","201512010930+01","2015","12","01","09","30","+01","0"
